date,demand_mwh,year,month,week,day_of_week,is_weekend
2019-01-01,582949.806,2019,1,1,1,False
2019-01-02,742199.407,2019,1,1,2,False
2019-01-03,787764.963,2019,1,1,3,False
2019-01-04,796010.035,2019,1,1,4,False
2019-01-05,721029.651,2019,1,1,5,True
2019-01-06,661772.168,2019,1,1,6,True
2019-01-07,764920.771,2019,1,2,0,False
2019-01-08,844559.085,2019,1,2,1,False
2019-01-09,846151.453,2019,1,2,2,False
2019-01-10,857323.124,2019,1,2,3,False
2019-01-11,867181.886,2019,1,2,4,False
2019-01-12,775170.712,2019,1,2,5,True
2019-01-13,722271.171,2019,1,2,6,True
2019-01-14,835752.36,2019,1,3,0,False
2019-01-15,846245.527,2019,1,3,1,False
2019-01-16,847911.818,2019,1,3,2,False
2019-01-17,849875.833,2019,1,3,3,False
2019-01-18,848781.942,2019,1,3,4,False
2019-01-19,766537.72,2019,1,3,5,True
2019-01-20,705583.355,2019,1,3,6,True
2019-01-21,828406.838,2019,1,4,0,False
2019-01-22,864855.303,2019,1,4,1,False
2019-01-23,854462.174,2019,1,4,2,False
2019-01-24,837075.708,2019,1,4,3,False
2019-01-25,815349.834,2019,1,4,4,False
2019-01-26,724205.323,2019,1,4,5,True
2019-01-27,678249.362,2019,1,4,6,True
2019-01-28,807644.379,2019,1,5,0,False
2019-01-29,832616.612,2019,1,5,1,False
2019-01-30,829785.386,2019,1,5,2,False
2019-01-31,823510.841,2019,1,5,3,False
2019-02-01,811408.357,2019,2,5,4,False
2019-02-02,739149.442,2019,2,5,5,True
2019-02-03,696029.792,2019,2,5,6,True
2019-02-04,827865.952,2019,2,6,0,False
2019-02-05,826264.446,2019,2,6,1,False
2019-02-06,813527.159,2019,2,6,2,False
2019-02-07,805445.154,2019,2,6,3,False
2019-02-08,799019.676,2019,2,6,4,False
2019-02-09,719403.839,2019,2,6,5,True
2019-02-10,672445.604,2019,2,6,6,True
2019-02-11,781692.422,2019,2,7,0,False
2019-02-12,799138.409,2019,2,7,1,False
2019-02-13,797839.046,2019,2,7,2,False
2019-02-14,794299.138,2019,2,7,3,False
2019-02-15,790637.803,2019,2,7,4,False
2019-02-16,706487.416,2019,2,7,5,True
2019-02-17,656688.443,2019,2,7,6,True
2019-02-18,779646.845,2019,2,8,0,False
2019-02-19,789997.493,2019,2,8,1,False
2019-02-20,785631.268,2019,2,8,2,False
2019-02-21,781135.556,2019,2,8,3,False
2019-02-22,771083.106,2019,2,8,4,False
2019-02-23,689175.82,2019,2,8,5,True
2019-02-24,637452.604,2019,2,8,6,True
2019-02-25,750831.906,2019,2,9,0,False
2019-02-26,759697.475,2019,2,9,1,False
2019-02-27,756324.91,2019,2,9,2,False
2019-02-28,742210.124,2019,2,9,3,False
2019-03-01,747742.259,2019,3,9,4,False
2019-03-02,670242.996,2019,3,9,5,True
2019-03-03,621445.195,2019,3,9,6,True
2019-03-04,729814.28,2019,3,10,0,False
2019-03-05,745164.11,2019,3,10,1,False
2019-03-06,767457.592,2019,3,10,2,False
2019-03-07,758178.303,2019,3,10,3,False
2019-03-08,748568.791,2019,3,10,4,False
2019-03-09,671315.341,2019,3,10,5,True
2019-03-10,617758.559,2019,3,10,6,True
2019-03-11,726454.288,2019,3,11,0,False
2019-03-12,743155.047,2019,3,11,1,False
2019-03-13,753372.783,2019,3,11,2,False
2019-03-14,753975.948,2019,3,11,3,False
2019-03-15,738753.829,2019,3,11,4,False
2019-03-16,660072.282,2019,3,11,5,True
2019-03-17,610229.793,2019,3,11,6,True
2019-03-18,708116.389,2019,3,12,0,False
2019-03-19,707250.357,2019,3,12,1,False
2019-03-20,755634.542,2019,3,12,2,False
2019-03-21,758931.722,2019,3,12,3,False
2019-03-22,749138.108,2019,3,12,4,False
2019-03-23,669633.017,2019,3,12,5,True
2019-03-24,611819.827,2019,3,12,6,True
2019-03-25,717073.819,2019,3,13,0,False
2019-03-26,732395.045,2019,3,13,1,False
2019-03-27,735314.342,2019,3,13,2,False
2019-03-28,736120.156,2019,3,13,3,False
2019-03-29,733687.593,2019,3,13,4,False
2019-03-30,661273.331,2019,3,13,5,True
2019-03-31,595455.992,2019,3,13,6,True
2019-04-01,728854.039,2019,4,14,0,False
2019-04-02,740720.312,2019,4,14,1,False
2019-04-03,743726.231,2019,4,14,2,False
2019-04-04,746532.132,2019,4,14,3,False
2019-04-05,758884.449,2019,4,14,4,False
2019-04-06,683345.822,2019,4,14,5,True
2019-04-07,635743.258,2019,4,14,6,True
2019-04-08,745947.421,2019,4,15,0,False
2019-04-09,762514.952,2019,4,15,1,False
2019-04-10,759373.018,2019,4,15,2,False
2019-04-11,754593.577,2019,4,15,3,False
2019-04-12,737503.833,2019,4,15,4,False
2019-04-13,658751.444,2019,4,15,5,True
2019-04-14,606715.171,2019,4,15,6,True
2019-04-15,705651.944,2019,4,16,0,False
2019-04-16,712912.968,2019,4,16,1,False
2019-04-17,706896.182,2019,4,16,2,False
2019-04-18,633645.163,2019,4,16,3,False
2019-04-19,584929.31,2019,4,16,4,False
2019-04-20,598281.137,2019,4,16,5,True
2019-04-21,575850.979,2019,4,16,6,True
2019-04-22,622892.917,2019,4,17,0,False
2019-04-23,691440.392,2019,4,17,1,False
2019-04-24,737862.824,2019,4,17,2,False
2019-04-25,739947.966,2019,4,17,3,False
2019-04-26,722351.575,2019,4,17,4,False
2019-04-27,641476.76,2019,4,17,5,True
2019-04-28,580034.58,2019,4,17,6,True
2019-04-29,681641.153,2019,4,18,0,False
2019-04-30,693188.14,2019,4,18,1,False
2019-05-01,588783.574,2019,5,18,2,False
2019-05-02,674320.005,2019,5,18,3,False
2019-05-03,696474.728,2019,5,18,4,False
2019-05-04,634765.62,2019,5,18,5,True
2019-05-05,585505.022,2019,5,18,6,True
2019-05-06,691903.437,2019,5,19,0,False
2019-05-07,715282.519,2019,5,19,1,False
2019-05-08,720383.459,2019,5,19,2,False
2019-05-09,719680.488,2019,5,19,3,False
2019-05-10,714705.845,2019,5,19,4,False
2019-05-11,642893.955,2019,5,19,5,True
2019-05-12,589066.207,2019,5,19,6,True
2019-05-13,693194.342,2019,5,20,0,False
2019-05-14,716085.91,2019,5,20,1,False
2019-05-15,714403.802,2019,5,20,2,False
2019-05-16,723608.482,2019,5,20,3,False
2019-05-17,708065.687,2019,5,20,4,False
2019-05-18,633581.663,2019,5,20,5,True
2019-05-19,588760.853,2019,5,20,6,True
2019-05-20,693266.151,2019,5,21,0,False
2019-05-21,712267.526,2019,5,21,1,False
2019-05-22,720423.021,2019,5,21,2,False
2019-05-23,721032.652,2019,5,21,3,False
2019-05-24,717689.342,2019,5,21,4,False
2019-05-25,641713.37,2019,5,21,5,True
2019-05-26,586295.917,2019,5,21,6,True
2019-05-27,703430.222,2019,5,22,0,False
2019-05-28,723789.614,2019,5,22,1,False
2019-05-29,722528.761,2019,5,22,2,False
2019-05-30,719643.509,2019,5,22,3,False
2019-05-31,720746.446,2019,5,22,4,False
2019-06-01,657113.804,2019,6,22,5,True
2019-06-02,610135.227,2019,6,22,6,True
2019-06-03,727199.819,2019,6,23,0,False
2019-06-04,743803.929,2019,6,23,1,False
2019-06-05,728013.427,2019,6,23,2,False
2019-06-06,718987.495,2019,6,23,3,False
2019-06-07,716146.113,2019,6,23,4,False
2019-06-08,649114.105,2019,6,23,5,True
2019-06-09,598266.091,2019,6,23,6,True
2019-06-10,692985.625,2019,6,24,0,False
2019-06-11,717613.036,2019,6,24,1,False
2019-06-12,721685.017,2019,6,24,2,False
2019-06-13,725139.71,2019,6,24,3,False
2019-06-14,720698.739,2019,6,24,4,False
2019-06-15,649826.641,2019,6,24,5,True
2019-06-16,600853.162,2019,6,24,6,True
2019-06-17,714625.455,2019,6,25,0,False
2019-06-18,736896.725,2019,6,25,1,False
2019-06-19,741912.133,2019,6,25,2,False
2019-06-20,735488.271,2019,6,25,3,False
2019-06-21,732798.844,2019,6,25,4,False
2019-06-22,672993.652,2019,6,25,5,True
2019-06-23,623379.646,2019,6,25,6,True
2019-06-24,688002.526,2019,6,26,0,False
2019-06-25,765220.281,2019,6,26,1,False
2019-06-26,792832.45,2019,6,26,2,False
2019-06-27,807875.011,2019,6,26,3,False
2019-06-28,821152.543,2019,6,26,4,False
2019-06-29,751724.535,2019,6,26,5,True
2019-06-30,696474.637,2019,6,26,6,True
2019-07-01,805062.314,2019,7,27,0,False
2019-07-02,817750.686,2019,7,27,1,False
2019-07-03,814766.368,2019,7,27,2,False
2019-07-04,813934.525,2019,7,27,3,False
2019-07-05,816024.974,2019,7,27,4,False
